BRAND,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO,OFFER,RETAILER
gillette venus,hair removal,health & wellness,gillette venus ® for pubic hair & skin spend $20,gillette venus
gillette venus,hair removal,health & wellness,gillette venus ® for pubic hair & skin,gillette venus
gillette venus,hair removal,health & wellness,"gillette venus ® for pubic hair & skin, spend $20",gillette venus
burts bees,hair removal,health & wellness,"burt's bees sensitive lotions and creams, select varieties, at walmart",walmart
burts bees,hair removal,health & wellness,"burt's bee's® facial wipes, select varieties, 30 count at walmart",walmart
burts bees,hair removal,health & wellness,"burt's bees® products, select varieties, at walmart",walmart
burts bees,hair removal,health & wellness,"burt's bees® sensitive lotions and creams, select varieties, at walmart",walmart
burts bees,makeup,beauty,"burt's bees sensitive lotions and creams, select varieties, at walmart",walmart
burts bees,makeup,beauty,"burt's bee's® facial wipes, select varieties, 30 count at walmart",walmart
burts bees,makeup,beauty,"burt's bees® products, select varieties, at walmart",walmart
burts bees,makeup,beauty,"burt's bees® sensitive lotions and creams, select varieties, at walmart",walmart
burts bees,skin care,health & wellness,"burt's bees sensitive lotions and creams, select varieties, at walmart",walmart
burts bees,skin care,health & wellness,"burt's bee's® facial wipes, select varieties, 30 count at walmart",walmart
burts bees,skin care,health & wellness,"burt's bees® products, select varieties, at walmart",walmart
burts bees,skin care,health & wellness,"burt's bees® sensitive lotions and creams, select varieties, at walmart",walmart
dove,bath & body,health & wellness,"dove hand wash, select varieties, buy 2 at target",target
dove,bath & body,health & wellness,"dove hand wash, select varieties at target",target
dove,makeup,beauty,"dove hand wash, select varieties, buy 2 at target",target
dove,makeup,beauty,"dove hand wash, select varieties at target",target
dove,deodorant & antiperspirant,health & wellness,"dove hand wash, select varieties, buy 2 at target",target
dove,deodorant & antiperspirant,health & wellness,"dove hand wash, select varieties at target",target
dove,hair care,health & wellness,"dove hand wash, select varieties, buy 2 at target",target
dove,hair care,health & wellness,"dove hand wash, select varieties at target",target
fresh step,bath & body,health & wellness,fresh step® outstretch® cat litter,fresh step
fresh step,bakery,deli & bakery,fresh step® outstretch® cat litter,fresh step
fresh step,makeup,beauty,fresh step® outstretch® cat litter,fresh step
fresh step,medicines & treatments,health & wellness,fresh step® outstretch® cat litter,fresh step
fresh step,cooking & baking,pantry,fresh step® outstretch® cat litter,fresh step
fresh step,hair care,health & wellness,fresh step® outstretch® cat litter,fresh step
sara lee artesano,bakery,deli & bakery,"artesano® buns, buy 2 at walmart®",walmart
sara lee artesano,bread,pantry,"artesano® buns, buy 2 at walmart®",walmart
ball park pop ups,bakery,deli & bakery,"ballpark® buns, buy 2",ballpark
ball park pop ups,bread,pantry,"ballpark® buns, buy 2",ballpark
mcalisters deli,bakery,deli & bakery,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,carbonated soft drinks,beverages,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,dips & salsa,snacks,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,coffee,beverages,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,prepared meals,deli & bakery,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,candy,snacks,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,wine,alcohol,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,chips,snacks,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,cheese,dairy,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,cooking & baking,pantry,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,bread,pantry,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,fruit juices,beverages,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,frozen chicken,frozen meat,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,tea,beverages,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,leafy salads,deli & bakery,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,water,beverages,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,fruit & vegetable snacks,snacks,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,sauces & marinades,pantry,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,cookies,snacks,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,frozen meals,frozen,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,soup & broth,pantry,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,milk,dairy,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
